Location,Burrito,Neighborhood,Chips,Cost,Hunger,Mass (g),Density (g/mL),Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Unreliable,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Chipotle,Custom,Miramar,,7,3.5,,,3,,5,3,3,4,4,4,4,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Al pastor,Miramar,,,4,,,5,,5,5,5,4,5,5,5,4.8,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco Shop,California,Kearny Mesa,,7,3,,,3.5,2,3,4,2,4,3,3,4,3,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's taco shop,California,Kearny Mesa,,7,3.5,,,3,5,3,3.5,3,1.5,3,3,4,3.3,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco Shop,California,Kearny Mesa,,7,2.2,,,2.8,3,3,2,2,4.5,2,1.5,4.5,2.3,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco Shop,California,Kearny Mesa,,7,3.5,,,4,4,4,3,4,5,4,4,5,4,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco shop,Carne asada,Kearny Mesa,,6.25,4,,,1.5,2.5,3,4.5,4,2,2.75,3.75,3,2.6,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Cabos,Al pastor,San Marcos,,5.69,3,,,4,4.5,3,3.5,4,3.5,2.5,4,4.5,4,,,,X,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
Los Cabos,California,San Marcos,x,5.99,4,,,4,4.5,2.5,2.5,2.5,1.5,3,4,5,3,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los palmitos,Surf & Turf,Clairemont,,8.25,3.5,,,3.5,4,4,3,3.5,4.5,3.5,3.5,5,3.6,,X,,X,,,,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,
Los palmitos,California,Clairemont,x,7.1,4,,,4.5,5,3.8,3.8,4,4,3.9,4.3,5,4.3,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Panchos Taco Shop,Bitchin California,Hillcrest,,7.25,4,,,4,4,5,4.5,4,3.5,5,4.5,5,4.4,,x,,x,x,x,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Los Panchos Taco Shop,California,Hillcrest,x,6.25,3,,,3.5,5,4,3,4,3,3.5,3.5,3,3.7,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,California breakfast,UTC,,6.25,2.5,,,3,4,3,2,1.5,1,3,1.5,3,2,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Los Primos Mexican Food,Surf & Turf,UTC,,7,2.5,,,4,4,2,3,2,3.5,3,3,4.5,2.5,,X,,,X,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,
Los Primos Mexican Food,California,UTC,,7.5,4,,,3,5,3.5,3.5,4,4,2.5,3,5,3.5,,,x,,x,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Baja monster,UTC,,6,4,,,3,3,1,4,2,2,3,2,1,2,,,x,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Goody's,Carne Asada,Kearny Mesa,,6.25,4.5,,,3.5,3,2,2,2.5,3,2,1.5,1,2,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguaro's ,Vegetarian,Kearny Mesa,,5.25,4,,,4,5,,5,4,4,5,5,5,4.8,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima's ,Colimas burrito,Kearny Mesa,x,8.25,4,,,5,5,5,5,5,5,,5,4.5,4.9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",Carne Asada,Kearny Mesa,,4.59,4,,,4,4,5,5,5,5,5,5,4,4.8,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXN on Washington,Bean and rice grande size,Kearny Mesa,,2.99,3,,,4.5,3.5,,4.5,,3.5,3,4,4,4.5,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,Surf and Turf,Kearny Mesa,,7,2.5,,,5,5,5,5,5,5,5,5,5,5,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's,Bean and Cheese,Kearny Mesa,,,4.3,,,3.8,4,,4.7,,5,,4.7,5,4.8,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humbertos,Pollo california,Kearny Mesa,,6,5,,,4,5,5,5,5,4,5,5,5,5,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chili Peppers,Surf & Turf,Kearny Mesa,,9.43,,,,4,5,5,5,5,5,5,5,5,5,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Baja monster,UTC,,6,3,,,4,3.5,4,4,2,4,4,4,3,3.8,,,x,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Carnitas,UTC,,6.35,4.5,,,4,4,2.5,2,3,2,2,2,3,2,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Monster California,UTC,x,9.25,3.5,,,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Monster California,UTC,,9.25,3.5,,,2,1,3,3,1,,3,2,4,2.3,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,California,UTC,,7,3,,,4.5,4,3.5,4,1,1,2,2,4,2.5,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Tacos,Al pastor tradicional ,Oceanside,,8.25,3.8,430,#REF!,4,,4,3,3,2.5,4,3,5,3.6,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los tacos ,Local,Oceanside,,7.9,3.5,,,3.5,4.5,4.5,4,1.5,1.5,3,4,5,3.5,,,X,,X,X,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Los tacos ,Fusion,Oceanside,,8.5,3.5,,,4,4,4,3.5,4,4,4,4.5,4.5,4.2,,X,,X,X,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
Lucha Libre North Park,Veg Out,North Park,,6.95,3,,,5,5,,5,,5,4.5,5,3,4.5,,,,,,,,,,,,,x,x,,x,,,x,,,,,,,,,,,,x,,,x,,x
Lucha Libre North Park,Surf & Turf,North Park,x,8.25,4,,,3,2.5,3,3,3,3,3.5,3,3,3,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surf & Turf,North Park,,8.25,3,,,5,3,5,4,2,2,5,2,2,2,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surf & Turf,North Park,,8.25,3.9,,,2.1,1.9,2.6,2.4,2.9,3.2,4,2.5,3,2.4,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surf & Turf,North Park,,8.25,4,,,3,2.5,2,2.8,3.5,3.5,4,3,4,2.2,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surf & Turf,North Park,,8.25,3.5,,,3.6,3.2,3.2,3.5,3.6,3.5,,3.8,3.9,3.6,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,North Park,,8.25,3,,,3,3,4,3.5,3,2,3.5,3.5,4,3.9,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,North Park,,8.25,4,,,3.5,2,4,3,5,5,4,4,5,3.5,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,North Park,,8.25,4,,,4,3,3,3,3,2,3,3,4,3,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,North Park,,8.25,1,,,3,2,4,3,5,5,4,3.5,5,3.5,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,North Park,,8.25,2,,,3.5,2,5,3.5,4,2.5,3.5,3,3.5,3.5,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,North Park,,8.25,3,,,5,4,4,4,3,3,4,4,4,4,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,North Park,,8.25,1,,,4,3,3.5,3,5,4,2,3,4,3,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Nutty,North Park,,7.5,3.8,,,3.8,4,4,4,4,4,4.5,4.5,4.5,4.4,,,,,x,x,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Holy Moly,North Park,,7.5,5,,,3.5,2,3.5,3.5,3,4,2,2,4,3.5,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Holy Moly,North Park,,7.5,3,,,2.5,2.5,3,2,2,1,5,1,5,1.5,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Holy Moly,North Park,,7.5,4,,,5,3,5,5,3,2,2,3,5,4,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Holy Moly,North Park,,7.5,5,,,5,4,2,1,4,3,5,4,2,2,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Holy Moly,North Park,,7.5,4.5,,,4,4,3.5,4.5,4,4,5,4.5,4,4,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Veggie,North Park,,5.25,3,,,4.5,4.5,,3.5,,3,4,3.5,5,3.25,,,x,,,x,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Bean and cheese,North Park,,3.75,5,,,4,3,,1,,3,3,2,3,2,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Chicken,North Park,,7.5,4,,,3.5,2.5,3,4.5,3,2,5,4.5,3.5,2.5,,,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Chicken,North Park,,7.5,3,,,3.5,5,3.5,4,3,3,4,2.5,5,3,,,x,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Pork Adobada,North Park,,7.5,4,,,2,3,3,3,4,3,4,3,5,3,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Pork Adobada,North Park,,7.5,4.5,,,3.5,4,4.5,4,3.5,3.5,4,4,4.5,4.25,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Pork Adobada,North Park,,7.5,2,,,4,5,5,4,4.5,4.5,5,4.5,4,4.5,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Steak,North Park,,7.5,2.5,,,3,3,5,3.5,3,3.5,4.5,4,4.5,3.9,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Steak,North Park,,7.5,5,,,3.5,3,2,3,3,2,4,2.5,5,3.5,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matador Mexican Food,Carnitas,Morena,X,6.6,3.2,,,1.4,3.7,3,3.2,4.8,2.4,3,2.9,3,3,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matador Mexican Food,Carne asada,Morena,,6.6,4,,,4,3.5,3.5,3.5,4,3,3.5,3.5,4.5,3,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mi Asador Mexican & Seafood ,El Hawaiiano ,Oceanside,,6.39,3,,,4,3,2.5,3.5,3,3,3.5,4,3.5,3.5,,X,,X,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Mi Asador Mexican & Seafood ,California ,Oceanside,x,6.89,3,,,3,2.5,3,2.5,2.5,2,3.5,3,4,3,,X,,X,x,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikes Taco Club,California,Ocean Beach,,8.59,2.5,,,4,4.5,3.5,5,2.5,2,4,4.5,4,4.3,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikes Taco Club,California,Ocean Beach,,8.59,3.5,,,4.5,4.5,4,4.5,4,4,4,4.5,5,4.5,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikes Taco Club,California,Point Loma,,8.99,4,,,4.5,4.5,4,4,3,4,3.5,4,3,4.2,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikes Taco Club,California,Point Loma,,8.99,4,,,4.5,5,3.5,4,4,4,,2.5,1.5,3.8,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Ruribertos Taco Shop ,California,Mission Beach,,7.75,4,,,3.5,2.5,3,3.3,1.4,2.3,2.2,3.3,4.5,2.9,,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Ruribertos Taco Shop ,Carne asada,Mission Beach,,7.75,4,,,4,4.5,2,2,3.5,3.5,2,2,4,3,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netos Mexican Food,Carne adobada ,San Marcos,,5.5,3,,,3.5,4,3.5,3,3.5,3.5,2.5,3,2.5,3,,x,x,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Netos Mexican Food,California ,San Marcos,x,5.99,4,,,4.5,5,3,4,2,2,2,3.75,4,3.2,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico's Taco Shop,Carnitas,Carmel Valley,,6.99,4,,,2.5,3,3,2.5,3,3.5,,2.5,3,3,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico's Taco Shop,California,Carmel Valley,,7.19,1.5,,,2,3,3,2,2.5,2.5,,2,3,2.6,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,Carnitas,San Marcos,,4.85,1.5,,,3,2,2.5,3,4.5,4,3,3,5,3,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,California ,San Marcos,,5.45,3.5,,,2,3.5,2.5,2.5,2,4,3.5,2.5,5,3,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,Carne asada,San Marcos,,5.25,2,,,3,2,3.5,3,4,5,4,4,5,3.75,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Chito's Mexican Food,California,University City,,6.25,3.5,,,3.5,3.5,2.5,2.5,2.5,4,2,1.5,5,2.2,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Chito's Mexican Food,California,University City,,6.25,4,,,4,5,3,3,4,3.5,4,4,5,3.75,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokirrito,Pokirrito classic ,Kearny Mesa,x,11.95,4,,,3.5,4,4,4.5,2.5,2.5,3,4,2,4.2,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Pokirrito,Mauna Lani,Kearny Mesa,,11.95,3,,,3,4,4,4,3,2.5,4.5,4,1.5,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Pollos Maria,combo chicken,Carlsbad,,6.99,4,,,3,4,5,3.5,2.5,2.5,2.5,4,1,3.2,,,,x,x,,x,,x,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,
Pollos Maria,California,Carlsbad,x,6.59,4,,,4,5,4,3.5,4.5,5,2.5,4.5,4,4.2,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porkyland ,Chicken nopalito,Carmel Valley,,7.95,2.5,,,2.5,2.5,4,3.5,3,2.5,3,3,5,3.3,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,
Porkyland ,Chicken nopalito,Carmel Valley,,7.95,2,,,4,5,4,4,3,5,3,3,5,4,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,
Porkyland ,Deborah's special,Carmel Valley,x,8.25,3.5,,,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Porkyland ,California,Carmel Valley,,8.75,3,,,4,5,3,5,3,2,4,3,5,4,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul's Mexican food,Chile verde pork,Encinitas,,5,3.5,,,2,,2.5,2,2,2,2,2.5,,2,,,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,
Raul's Mexican food,carne asada,Encinitas,,5,1,,,2,,1,1,0.5,1,1.5,1,4,1,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Carne asada,La Mesa,,7.2,3,,,4,5,4,3,3,3,4,3,4,4,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Bacon breakfast,Miramar,,6.25,3.5,,,4,3.5,4,4,5,5,,5,4.5,4.2,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,
Rigoberto's Taco Shop,Bacon breakfast,Miramar,,6.3,4,,,4,3.6,4,4,4,4,,4,4,4.2,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,
Rigoberto's Taco Shop,Chile Relleno,Miramar,,6.6,5,,,5,4,,5,5,4,,5,3,4.5,x,,,,x,,x,,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,
Rigoberto's Taco Shop,Fish,Miramar,,6,2,,,5,4.5,5,5,5,5,,5,4,5,x,,,,,,,,,,x,,,x,x,,,,,,x,x,,,,,,,,,,,,,,
Rigoberto's Taco Shop,California ,Miramar,,6.6,3,,,3,4.5,4,4.5,4,4.5,4.5,5,4.5,4.5,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,California,Miramar,,6.6,3,,,3,5,3.5,3,4.5,2.5,3,4,4,3.6,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Surf & Turf,Miramar,,7.45,3.5,,,3,5,3.5,2.5,3,2.5,3.75,3,4,3,,x,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Carnitas,Miramar,,7.5,4,,,4,5,4,5,5,4,5,4,4,4,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Carnitas,Miramar,,6.6,3,,,4,4,5,5,4.5,3,2,4,4,4,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Adobada,Miramar,,6.6,3,,,4,5,5,5,5,4,,4.5,5,4.5,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Campeon,Miramar,,7.65,3.5,,,3,1.5,3,3,2.5,3,3.5,2.5,4,3.4,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Campeon,Miramar,,7.65,4.5,,,3.5,4.5,2.5,2.5,1,1.5,3,2.5,3,2.7,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,El Rusio,Miramar,,6.65,4,,,3,4.5,2.5,2,3.5,5,1.5,2,1.5,2.5,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Carne asada,Miramar,,6.6,3.5,,,4,2,4,3.5,4.5,4,3.5,4,1,4.25,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Carne asada,Miramar,,6.6,4,,,4,3.5,4,4,3.5,4,4,4.5,4.5,4,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
